AC_NO,NAME,PARTY,VOTES,AC_NAME
80,SHAPRIYA CHIMANBHAI DHARAMSHIBHAI,BJP,75395,JAMJODHPUR
81,POONAMBEN HEMATBHAI MADAM,BJP,79087,KHAMBHALIA
82,PABUBHA VIRAMBHA MANEK,BJP,70062,DWARKA
83,BABUBHAI BHIMABHAI BOKHIRIA,BJP,77604,PORBANDAR
84,KANDHAL SARMANBHAI JADEJA,NCP,61416,KUTIYANA
85,CHAVDA JAWAHARBHAI PETHALAJIBHAI,INC,72879,MANAVADAR
86,MASHRU MAHENDRABHAI LILADHARBHAI,BJP,66669,JUNAGADH
87,KESHUBHAI SAVDASBHAI PATEL,GPP,85967,VISAVADAR
88,ARVINDBHAI KESHAVBHAI LADANI,BJP,53772,KESHOD
89,CHUDASAMA RAJESHBHAI NARANBHAI,BJP,68452,MANGROL
90,BARAD JASHUBHAI DHANABHAI,INC,56701,SOMNATH
91,JASHUBHAI DHANABHAI BARAD,INC,62722,TALALA
92,SOLANKI JETHABHAI DANABHAI,BJP,63319,KODINAR
93,VANSH PUNJABHAI BHIMABHAI,INC,69824,UNA
94,KOTADIYA NALINBHAI NANJIBHAI,GPP,41516,DHARI
95,PARESH DHANANI,INC,86583,AMRELI
96,BAVKUBHAI NATHABHAI UNDHAD,INC,48793,LATHI
97,VAGHASIYA VALLABHBHAI VASHARAMBHAI (V.V.VAGHASIYA),BJP,37246,SAVARKUNDLA
98,SOLANKI HIRABHAI ODHAVJIBHAI,BJP,75447,RAJULA
99,MAKWANA BHAVANABEN RAGHAVBHAI,BJP,57498,MAHUVA
100,SHYAL BHARTIBEN DHIRUBHAI,BJP,66357,TALAJA
101,KESHUBHAI HIRJIBHAI NAKARANI,BJP,53377,GARIADHAR
102,RATHOD PRAVINBHAI JINABHAI,INC,69396,PALITANA
103,PARSHOTTAMBHAI ODHAVJIBHAI SOLANKI,BJP,83980,BHAVNAGAR RURAL
104,DAVE VIBHAVARIBEN VIJAYBHAI (VIBHABEN DAVE),BJP,85375,BHAVNAGAR EAST
105,JITENDRABHAI SAVJIBHAI VAGHANI (JITU VAGHANI),BJP,92584,BHAVNAGAR WEST
106,ATMARAM MAKANBHAI PARMAR,BJP,64053,GADHADA
107,MANIYA THAKARSHIBHAI DEVJIBHAI,BJP,86184,BOTAD
108,SANJAYKUMAR RAMANBHAI PATEL,BJP,74761,KHAMBHAT
109,PARMAR RAJENDRASINH DHIRSINH,INC,83621,BORSAD
110,AMIT CHAVDA,INC,81575,ANKLAV
111,JAYANTBHAI RAMANBHAI PATEL (BOSKEY),NCP,67363,UMRETH
112,DILIPBHAI MANIBHAI PATEL,BJP,82956,ANAND
113,NIRANJAN PURSOTTAMDAS PATEL,INC,77312,PETLAD
114,PARMAR PUNAMBHAI MADHABHAI,INC,65210,SOJITRA
115,CHAUHAN DEVUSINH JESINGBHAI,BJP,71021,MATAR
116,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),BJP,75335,NADIAD
117,GAUTAMBHAI RAVJIBHAI CHAUHAN,INC,68767,MEHEMDABAD
118,THAKOR NATVARSINH FULSINH,INC,58373,MAHUDHA
119,PARMAR RAMSINH PRABHATBHAI,INC,78226,THASRA
120,SHANKERSINH VAGHELA (BAPU),INC,88641,KAPADWANJ
121,CHAUHAN MANSINH KOHYABHAI,INC,87088,BALASINOR
122,HIRABHAI HARIBHAI PATEL,INC,72814,LUNAWADA
123,DAMOR GENDALBHAI MOTIBHAI,INC,68026,SANTRAMPUR
124,AHIR (BHARWAD) JETHABHAI GHELABHAI,BJP,76468,SHEHRA
125,KHANT SAVITABEN VECHATBHAI,INC,56886,MORVA HADAF
126,C.K. RAULJI,INC,73367,GODHRA
127,RATHOD ARVINDSINH DAMSINH,BJP,69275,KALOL
128,PARMAR JAYDRATHSINHJI CHANDRASINHJI,BJP,93854,HALOL
129,KATARA  RAMESHBHAI BHURABHAI,BJP,57828,FATEPURA
130,GARASIYA MITESHBHAI KALABHAI,INC,78077,JHALOD
131,BHABHOR JASWANTSINH SUMANBHAI,BJP,67219,LIMKHEDA
132,PANADA VAJESINGBHAI PARSINGBHAI,INC,73956,DAHOD
133,BARIYA CHANDRIKABEN CHHAGANBHAI,INC,69295,GARBADA
134,KHABAD BACHUBHAI MAGANBHAI,BJP,113582,DEVGADH BARIA
135,INAMDAR KETANBHAI MAHENDRABHAI,IND,62849,SAVLI
136,SHRIVASTAV MADHUBHAI BABUBHAI,BJP,65851,VAGHODIA
137,RATHWA MOHANSINH CHHOTUBHAI,INC,65043,CHHOTA UDAIPUR
138,RATHAVA JAYANTIBHAI SAVAJIBHAI,BJP,61966,JETPUR
139,BHIL DHIRUBHAI CHUNILAL,INC,80579,SANKHEDA
140,BALKRISHNABHAI NARANBHAI PATEL,BJP,70833,DABHOI
141,VAKIL MANISHA RAJIVBHAI,BJP,103700,VADODARA CITY
142,SUKHADIYA JITENDRA RATILAL SUKHADIYA,BJP,107358,SAYAJIGANJ
143,SAURABH PATEL,BJP,95554,AKOTA
144,RAJENDRA TRIVEDI (RAJUBHAI VAKIL),BJP,99263,RAOPURA
145,YOGESH PATEL,BJP,92642,MANJALPUR
146,DINESHBHAI BALUBHAI PATEL (DINUMAMA),BJP,75227,PADRA
147,SATISHBHAI MOTIBHAI PATEL,BJP,68225,KARANJ
148,TADVI SHABDASHARAN BHAILALBHAI,BJP,79580,NANDOD
149,MOTILAL PUNIABHAI VASAVA,BJP,56471,DEDIAPADA
150,CHHATRASINHJI PUJABHAI MORI,BJP,74864,JAMBUSAR
151,ARUNSINH AJITSINH RANA,BJP,68512,VAGRA
152,VASAVA CHHOTUBHAI AMARASINHBHAI,JD(U),66622,JHAGADIA
153,DUSHYANTBHAI RAJNIKANT PATEL,BJP,92219,BHARUCH
154,ISHWARSINH THAKORBHAI PATEL,BJP,82645,ANKLESHWAR
155,MUKESHBHAI ZINABHAI PATEL,BJP,106805,OLPAD
156,VASAVA GANPATSINH VESTABHAI,BJP,79255,MANGROL
157,VASAVA PRABUBHAI NAGARBHAI,INC,83298,MANDVI
158,PANSHERIYA PRAFULBHAI CHHAGANBHAI,BJP,126032,KAMREJ
159,GILITWALA RANJITBHAI MANGUBHAI,BJP,72649,SURAT EAST
160,CHOKSI AJAYKUMAR  JASHVANTLAL,BJP,59690,SURAT NORTH
161,KANANI KISHORBHAI SHIVABHAI (KUMAR),BJP,68529,VARACHHA ROAD
162,KACHHADIYA JANAKBHAI MANJIBHAI,BJP,65696,KARANJ
163,PATIL SANGITABEN RAJENDRABHAI,BJP,79744,LIMBAYAT
164,NAROTTAMBHAI PATEL,BJP,74946,UDHNA
165,SANGHVI HARSH RAMESHKUMAR,BJP,103577,MAJURA
166,VANANI NANUBHAI BHAGWANBHAI (NANUBHAI PATEL),BJP,88604,KATARGAM
167,KISHORBHAI RATILAL VANKAWALA,BJP,99099,SURAT WEST
168,RAJENDRABHAI PARABHUBHAI PATEL (RAJABHAI),BJP,119917,CHORASI
169,PARMAR ISHWARBHAI ALIAS ANILBHAI RAMANBHAI,BJP,81049,BARDOLI
170,DHODIYA MOHANBHAI DHANJIBHAI,BJP,74161,MAHUVA
171,PUNABHAI DHEDABHAI GAMIT,INC,73138,VYARA
172,GAMIT KANTILALBHAI RESHMABHAI,BJP,90191,NIZAR
173,GAVIT MANGALBHAI GANGAJIBHAI,INC,45637,DANGS
174,R.C. PATEL,BJP,76797,JALALPORE
175,DESAI PIYUSHBHAI DINKARBHAI,BJP,81601,NAVSARI
176,MANGUBHAI CHHAGANBHAI PATEL,BJP,104417,GANDEVI
177,CHAUDHARI CHHANABHAI KOLUBHAI,INC,105829,VANSDA
178,ISHWARBHAI DHEDABHAI PATEL,INC,82319,DHARAMPUR
179,BHARATBHAI KIKUBHAI PATEL,BJP,93658,VALSAD
180,KANUBHAI MOHANLAL DESAI,BJP,84563,PARDI
181,CHAUDHARI JITUBHAI HARJIBHAI,INC,85780,KAPRADA
182,PATKAR RAMANBHAI NANUBHAI,BJP,69450,UMBERGAON
